NAME                INSTALLED                FIXED IN                 TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4046     High        0.4% (31st)    0.3           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4046     High        0.4% (31st)    0.3           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-0861     High        0.4% (28th)    0.3           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-0861     High        0.4% (28th)    0.3           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-48959    High        0.4% (30th)    0.3           
dpkg                1.21.22                  1.21.23                  deb   CVE-2025-6297     High        0.4% (28th)    0.3           
libc-bin            2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5928     High        0.4% (29th)    0.3           
libc6               2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5928     High        0.4% (29th)    0.3           
libssl3             3.0.11-1~deb12u2         3.0.16-1~deb12u1         deb   CVE-2024-13176    Medium      0.6% (45th)    0.3           
openssl             3.0.11-1~deb12u2         3.0.16-1~deb12u1         deb   CVE-2024-13176    Medium      0.6% (45th)    0.3           
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2017-16232    Negligible  5.4% (91st)    0.3           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6429     Medium      0.5% (41st)    0.3           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6429     Medium      0.5% (41st)    0.3           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2025-32414    High        0.4% (28th)    0.3           
libxslt1.1          1.1.35-1                 1.1.35-1+deb12u1         deb   CVE-2024-55549    High        0.3% (27th)    0.3           
libxslt1.1          1.1.35-1                 1.1.35-1+deb12u1         deb   CVE-2025-24855    High        0.3% (27th)    0.3           
libldap-2.5-0       2.5.13+dfsg-5                                     deb   CVE-2015-3276     Negligible  5.3% (91st)    0.3           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-33164    High        0.3% (27th)    0.3           
libaom3             3.6.0-1                                           deb   CVE-2026-56208    High        0.3% (27th)    0.3           
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2026-22796    Medium      0.5% (40th)    0.3           
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2026-22796    Medium      0.5% (40th)    0.3           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42012    High        0.4% (28th)    0.3           
libde265-0          1.0.11-1+deb12u2         (won't fix)              deb   CVE-2024-38950    Medium      0.4% (37th)    0.3           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-12064    High        0.3% (26th)    0.3           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-12064    High        0.3% (26th)    0.3           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u1         deb   CVE-2025-66293    High        0.3% (27th)    0.3           
libde265-0          1.0.11-1+deb12u2         (won't fix)              deb   CVE-2024-38949    Medium      0.4% (36th)    0.3           
gzip                1.12-1                   (won't fix)              deb   CVE-2026-41992    High        0.3% (26th)    0.3           
libheif1            1.15.1-1                                          deb   CVE-2026-32741    High        0.3% (27th)    0.3           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4437     High        0.3% (25th)    0.2           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4437     High        0.3% (25th)    0.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-7168     Medium      0.5% (38th)    0.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-7168     Medium      0.5% (38th)    0.2           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2023-2908     Medium      0.5% (37th)    0.2           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8286     High        0.3% (23rd)    0.2           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8286     High        0.3% (23rd)    0.2           
libpam-modules      1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2024-22365    Medium      0.5% (37th)    0.2           
libpam-modules-bin  1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2024-22365    Medium      0.5% (37th)    0.2           
libpam-runtime      1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2024-22365    Medium      0.5% (37th)    0.2           
libpam0g            1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2024-22365    Medium      0.5% (37th)    0.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-10148    Medium      0.5% (38th)    0.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-10148    Medium      0.5% (38th)    0.2           
libaom3             3.6.0-1                                           deb   CVE-2026-56209    High        0.3% (25th)    0.2           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-5545     Medium      0.4% (34th)    0.2           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-5545     Medium      0.4% (34th)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-32882    High        0.3% (24th)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-41071    High        0.3% (22nd)    0.2           
liblzma5            5.4.1-0.2                5.4.1-1+deb12u1          deb   CVE-2026-34743    Medium      0.4% (37th)    0.2           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2024-26462    Medium      0.4% (36th)    0.2           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2024-26462    Medium      0.4% (36th)    0.2           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2024-26462    Medium      0.4% (36th)    0.2           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2024-26462    Medium      0.4% (36th)    0.2           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-31789    Critical    0.2% (15th)    0.2           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-31789    Critical    0.2% (15th)    0.2           
libicu72            72.1-3                   72.1-3+deb12u1           deb   CVE-2025-5222     High        0.3% (24th)    0.2           
bsdutils            1:2.38.1-5+deb12u1       (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
libblkid1           2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
libmount1           2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
libsmartcols1       2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
libuuid1            2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
mount               2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
util-linux          2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
util-linux-extra    2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-3184     Medium      0.4% (36th)    0.2           
libssh2-1           1.10.0-3+b1                                       deb   CVE-2026-66032    High        0.3% (19th)    0.2           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-48962    High        0.3% (21st)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-48029    High        0.3% (22nd)    0.2           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2023-26966    Medium      0.4% (35th)    0.2           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6276     High        0.3% (21st)    0.2           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6276     High        0.3% (21st)    0.2           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2023-25433    Medium      0.4% (34th)    0.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u11       deb   CVE-2025-0167     Low         0.7% (48th)    0.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u11       deb   CVE-2025-0167     Low         0.7% (48th)    0.2           
libaom3             3.6.0-1                                           deb   CVE-2026-56210    High        0.3% (21st)    0.2           
libheif1            1.15.1-1                 (won't fix)              deb   CVE-2025-68431    High        0.3% (21st)    0.2           
perl-base           5.36.0-7+deb12u1         5.36.0-7+deb12u3         deb   CVE-2025-40909    Medium      0.4% (31st)    0.2           
libc-bin            2.36-9+deb12u7           (won't fix)              deb   CVE-2026-6238     Medium      0.4% (28th)    0.2           
libc6               2.36-9+deb12u7           (won't fix)              deb   CVE-2026-6238     Medium      0.4% (28th)    0.2           
tar                 1.34+dfsg-1.2+deb12u1                             deb   CVE-2005-2541     Negligible  4.0% (89th)    0.2           
libpam-modules      1.5.2-6+deb12u1          (won't fix)              deb   CVE-2026-54411    Medium      0.3% (26th)    0.2           
libpam-modules-bin  1.5.2-6+deb12u1          (won't fix)              deb   CVE-2026-54411    Medium      0.3% (26th)    0.2           
libpam-runtime      1.5.2-6+deb12u1          (won't fix)              deb   CVE-2026-54411    Medium      0.3% (26th)    0.2           
libpam0g            1.5.2-6+deb12u1          (won't fix)              deb   CVE-2026-54411    Medium      0.3% (26th)    0.2           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2023-26965    Medium      0.4% (30th)    0.2           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2022-49043    High        0.3% (17th)    0.2           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u10          deb   CVE-2025-0395     Medium      0.3% (27th)    0.2           
libc6               2.36-9+deb12u7           2.36-9+deb12u10          deb   CVE-2025-0395     Medium      0.3% (27th)    0.2           
tar                 1.34+dfsg-1.2+deb12u1    (won't fix)              deb   CVE-2026-5704     Medium      0.4% (30th)    0.2           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u3          deb   CVE-2024-28835    Medium      0.4% (31st)    0.2           
libssh2-1           1.10.0-3+b1                                       deb   CVE-2026-66034    High        0.3% (16th)    0.2           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-7017     High        0.3% (17th)    0.2           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u1         deb   CVE-2025-65018    High        0.3% (16th)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-32739    Medium      0.3% (24th)    0.2           
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2026-12912    High        0.2% (16th)    0.2           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8458     Medium      0.3% (24th)    0.2           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8458     Medium      0.3% (24th)    0.2           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u4         deb   CVE-2025-3576     Medium      0.3% (25th)    0.2           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u4         deb   CVE-2025-3576     Medium      0.3% (25th)    0.2           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u4         deb   CVE-2025-3576     Medium      0.3% (25th)    0.2           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u4         deb   CVE-2025-3576     Medium      0.3% (25th)    0.2           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-4873     Medium      0.3% (25th)    0.2           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-4873     Medium      0.3% (25th)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-32814    Medium      0.3% (23rd)    0.2           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45446    Medium      0.4% (29th)    0.2           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45446    Medium      0.4% (29th)    0.2           
libc-bin            2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5435     High        0.2% (14th)    0.2           
libc6               2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5435     High        0.2% (14th)    0.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-3784     Medium      0.3% (22nd)    0.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-3784     Medium      0.3% (22nd)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-32738    Medium      0.3% (22nd)    0.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-3783     Medium      0.3% (26th)    0.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-3783     Medium      0.3% (26th)    0.2           
libavif15           0.11.1-1                 0.11.1-1+deb12u1         deb   CVE-2025-48175    Medium      0.3% (22nd)    0.2           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-57432    High        0.2% (11th)    0.2           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-49295    High        0.2% (13th)    0.2           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-49346    High        0.2% (13th)    0.2           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4438     Medium      0.3% (24th)    0.2           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-4438     Medium      0.3% (24th)    0.2           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2019-1010022  Negligible  3.2% (87th)    0.2           
libc6               2.36-9+deb12u7                                    deb   CVE-2019-1010022  Negligible  3.2% (87th)    0.2           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2019-1010024  Negligible  3.2% (86th)    0.2           
libc6               2.36-9+deb12u7                                    deb   CVE-2019-1010024  Negligible  3.2% (86th)    0.2           
libexpat1           2.5.0-1                                           deb   CVE-2026-50219    Medium      0.3% (21st)    0.2           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-45383    Medium      0.3% (17th)    0.2           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-42770    Low         0.5% (37th)    0.2           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-42770    Low         0.5% (37th)    0.2           
libheif1            1.15.1-1                                          deb   CVE-2026-47178    High        0.2% (9th)     0.2           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2019-1010023  Negligible  3.0% (86th)    0.2           
libc6               2.36-9+deb12u7                                    deb   CVE-2019-1010023  Negligible  3.0% (86th)    0.2           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-45382    Medium      0.3% (16th)    0.2           
libcap2             1:2.66-4                 1:2.66-4+deb12u3         deb   CVE-2026-4878     High        0.2% (10th)    0.1           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-1965     Medium      0.3% (17th)    0.1           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-1965     Medium      0.3% (17th)    0.1           
libnghttp2-14       1.52.0-1+deb12u1         (won't fix)              deb   CVE-2026-58055    Medium      0.3% (18th)    0.1           
libjbig0            2.1-6.1                                           deb   CVE-2017-9937     Negligible  3.0% (85th)    0.1           
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-25210    High        0.2% (9th)     0.1           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u6  deb   CVE-2026-0989     Low         0.4% (36th)    0.1           
libheif1            1.15.1-1                                          deb   CVE-2026-41069    Medium      0.3% (16th)    0.1           
login               1:4.13+dfsg1-1+b1        1:4.13+dfsg1-1+deb12u1   deb   CVE-2023-4641     Medium      0.3% (17th)    0.1           
passwd              1:4.13+dfsg1-1+b1        1:4.13+dfsg1-1+deb12u1   deb   CVE-2023-4641     Medium      0.3% (17th)    0.1           
login               1:4.13+dfsg1-1+b1        1:4.13+dfsg1-1+deb12u1   deb   CVE-2023-29383    Low         0.4% (35th)    0.1           
passwd              1:4.13+dfsg1-1+b1        1:4.13+dfsg1-1+deb12u1   deb   CVE-2023-29383    Low         0.4% (35th)    0.1           
login               1:4.13+dfsg1-1+b1        (won't fix)              deb   CVE-2024-56433    Low         0.4% (33rd)    0.1           
passwd              1:4.13+dfsg1-1+b1        (won't fix)              deb   CVE-2024-56433    Low         0.4% (33rd)    0.1           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2010-4756     Negligible  2.6% (84th)    0.1           
libc6               2.36-9+deb12u7                                    deb   CVE-2010-4756     Negligible  2.6% (84th)    0.1           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-7010     Medium      0.2% (13th)    0.1           
libpam-modules      1.5.2-6+deb12u1          (won't fix)              deb   CVE-2024-10041    Medium      0.3% (18th)    0.1           
libpam-modules-bin  1.5.2-6+deb12u1          (won't fix)              deb   CVE-2024-10041    Medium      0.3% (18th)    0.1           
libpam-runtime      1.5.2-6+deb12u1          (won't fix)              deb   CVE-2024-10041    Medium      0.3% (18th)    0.1           
libpam0g            1.5.2-6+deb12u1          (won't fix)              deb   CVE-2024-10041    Medium      0.3% (18th)    0.1           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u2         deb   CVE-2026-22695    High        0.2% (7th)     0.1           
coreutils           9.1-1                    (won't fix)              deb   CVE-2016-2781     Low         0.4% (35th)    0.1           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-5419     Low         0.4% (30th)    0.1           
libldap-2.5-0       2.5.13+dfsg-5                                     deb   CVE-2020-15719    Negligible  2.5% (83rd)    0.1           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2019-9192     Negligible  2.4% (82nd)    0.1           
libc6               2.36-9+deb12u7                                    deb   CVE-2019-9192     Negligible  2.4% (82nd)    0.1           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u6  deb   CVE-2026-0992     Low         0.4% (33rd)    0.1           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2026-6791     Medium      0.2% (11th)    0.1           
libc6               2.36-9+deb12u7                                    deb   CVE-2026-6791     Medium      0.2% (11th)    0.1           
libxslt1.1          1.1.35-1                                          deb   CVE-2015-9019     Negligible  2.4% (82nd)    0.1           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-33165    Medium      0.2% (14th)    0.1           
zlib1g              1:1.2.13.dfsg-1          (won't fix)              deb   CVE-2026-27171    Medium      0.2% (12th)    0.1           
libheif1            1.15.1-1                                          deb   CVE-2026-49271    Medium      0.2% (9th)     0.1           
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-32777    Medium      0.2% (12th)    0.1           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2019-1010025  Negligible  2.3% (81st)    0.1           
libc6               2.36-9+deb12u7                                    deb   CVE-2019-1010025  Negligible  2.3% (81st)    0.1           
libacl1             2.3.1-3                  (won't fix)              deb   CVE-2026-54369    High        0.2% (4th)     0.1           
libheif1            1.15.1-1                                          deb   CVE-2026-47709    Medium      0.2% (11th)    0.1           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u6  deb   CVE-2026-1757     Medium      0.2% (9th)     0.1           
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2025-66382    Medium      0.2% (10th)    0.1           
libgcrypt20         1.10.1-3                 1.10.1-3+deb12u1         deb   CVE-2026-41989    Medium      0.2% (8th)     0.1           
libheif1            1.15.1-1                                          deb   CVE-2026-47254    Medium      0.2% (8th)     0.1           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-15534    Medium      0.2% (9th)     0.1           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u1         deb   CVE-2025-64505    Medium      0.2% (8th)     0.1           
libgssapi-krb5-2    1.20.1-2+deb12u1                                  deb   CVE-2018-5709     Negligible  2.1% (79th)    0.1           
libk5crypto3        1.20.1-2+deb12u1                                  deb   CVE-2018-5709     Negligible  2.1% (79th)    0.1           
libkrb5-3           1.20.1-2+deb12u1                                  deb   CVE-2018-5709     Negligible  2.1% (79th)    0.1           
libkrb5support0     1.20.1-2+deb12u1                                  deb   CVE-2018-5709     Negligible  2.1% (79th)    0.1           
libexpat1           2.5.0-1                                           deb   CVE-2024-28757    Negligible  2.0% (79th)    0.1           
libexpat1           2.5.0-1                                           deb   CVE-2026-72522    Medium      0.2% (7th)     < 0.1         
gpgv                2.2.40-1.1               2.2.40-1.1+deb12u2       deb   CVE-2025-68973    High        0.1% (3rd)     < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2018-10126    Negligible  1.9% (77th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2022-1210     Negligible  1.9% (77th)    < 0.1         
libpng16-16         1.6.39-2                 1.6.39-2+deb12u5         deb   CVE-2026-34757    Medium      0.2% (9th)     < 0.1         
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u6          deb   CVE-2025-9820     Medium      0.2% (10th)    < 0.1         
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-49337    Medium      0.2% (9th)     < 0.1         
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-32778    Medium      0.2% (6th)     < 0.1         
gpgv                2.2.40-1.1               (won't fix)              deb   CVE-2025-30258    Medium      0.2% (8th)     < 0.1         
libpng16-16         1.6.39-2                 1.6.39-2+deb12u2         deb   CVE-2026-22801    High        0.1% (1st)     < 0.1         
libc-bin            2.36-9+deb12u7           2.36-9+deb12u13          deb   CVE-2025-8058     Medium      0.2% (5th)     < 0.1         
libc6               2.36-9+deb12u7           2.36-9+deb12u13          deb   CVE-2025-8058     Medium      0.2% (5th)     < 0.1         
libgcrypt20         1.10.1-3                                          deb   CVE-2018-6829     Negligible  1.8% (75th)    < 0.1         
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2023-31486    Negligible  1.7% (75th)    < 0.1         
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42014    Medium      0.1% (4th)     < 0.1         
libcap2             1:2.66-4                 1:2.66-4+deb12u1         deb   CVE-2025-1390     Medium      0.2% (5th)     < 0.1         
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-32776    Medium      0.2% (6th)     < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2024-2379     Negligible  1.7% (75th)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2024-2379     Negligible  1.7% (75th)    < 0.1         
libxslt1.1          1.1.35-1                 (won't fix)              deb   CVE-2025-10911    Medium      0.2% (5th)     < 0.1         
libsystemd0         252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-4105     Medium      0.1% (3rd)     < 0.1         
libudev1            252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-4105     Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56410    Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56411    Medium      0.1% (3rd)     < 0.1         
libsystemd0         252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-40225    Medium      0.1% (4th)     < 0.1         
libudev1            252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-40225    Medium      0.1% (4th)     < 0.1         
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u5  deb   CVE-2025-9714     Medium      0.2% (5th)     < 0.1         
libtinfo6           6.4-4                    (won't fix)              deb   CVE-2025-6141     Medium      0.2% (6th)     < 0.1         
ncurses-base        6.4-4                    (won't fix)              deb   CVE-2025-6141     Medium      0.2% (6th)     < 0.1         
ncurses-bin         6.4-4                    (won't fix)              deb   CVE-2025-6141     Medium      0.2% (6th)     < 0.1         
libxslt1.1          1.1.35-1                 (won't fix)              deb   CVE-2025-11731    Low         0.3% (18th)    < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56406    Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56409    Medium      0.1% (3rd)     < 0.1         
libp11-kit0         0.24.1-2                 (won't fix)              deb   CVE-2026-13757    Medium      0.1% (3rd)     < 0.1         
libpng16-16         1.6.39-2                 1.6.39-2+deb12u1         deb   CVE-2025-64506    Medium      0.1% (3rd)     < 0.1         
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2026-22795    Medium      0.1% (4th)     < 0.1         
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2026-22795    Medium      0.1% (4th)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56412    Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56403    Medium      0.1% (2nd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56404    Medium      0.1% (2nd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56405    Medium      0.1% (2nd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56408    Medium      0.1% (2nd)     < 0.1         
libattr1            1:2.5.1-4                (won't fix)              deb   CVE-2026-54371    Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56407    Medium      0.1% (2nd)     < 0.1         
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-68160    Medium      0.2% (4th)     < 0.1         
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-68160    Medium      0.2% (4th)     < 0.1         
libde265-0          1.0.11-1+deb12u2         (won't fix)              deb   CVE-2023-51792    Low         0.2% (14th)    < 0.1         
libxpm4             1:3.5.12-1.1+deb12u1     (won't fix)              deb   CVE-2026-4367     Medium      0.1% (2nd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56131    Medium      0.1% (3rd)     < 0.1         
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2025-15649    Medium      0.1% (2nd)     < 0.1         
libacl1             2.3.1-3                  (won't fix)              deb   CVE-2026-54370    High        < 0.1% (0th)   < 0.1         
tar                 1.34+dfsg-1.2+deb12u1                             deb   CVE-2026-18508    Medium      0.1% (3rd)     < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2026-56132    Medium      0.1% (1st)     < 0.1         
libsystemd0         252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-29111    Medium      0.1% (2nd)     < 0.1         
libudev1            252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-29111    Medium      0.1% (2nd)     < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2025-0725     Negligible  1.2% (66th)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2025-0725     Negligible  1.2% (66th)    < 0.1         
libbz2-1.0          1.0.8-5+b1               (won't fix)              deb   CVE-2026-42250    Medium      0.1% (2nd)     < 0.1         
libp11-kit0         0.24.1-2                                          deb   CVE-2026-18938    Medium      0.1% (1st)     < 0.1         
apt                 2.6.1                                             deb   CVE-2011-3374     Negligible  1.2% (65th)    < 0.1         
libapt-pkg6.0       2.6.1                                             deb   CVE-2011-3374     Negligible  1.2% (65th)    < 0.1         
libheif1            1.15.1-1                                          deb   CVE-2026-47714    Medium      0.1% (1st)     < 0.1         
bsdutils            1:2.38.1-5+deb12u1       (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
