NAME                INSTALLED                FIXED IN                 TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libssl3             3.0.11-1~deb12u2         3.0.17-1~deb12u3         deb   CVE-2025-9232     Medium      2.3% (81st)    1.2           
openssl             3.0.11-1~deb12u2         3.0.17-1~deb12u3         deb   CVE-2025-9232     Medium      2.3% (81st)    1.2           
perl-base           5.36.0-7+deb12u1         5.36.0-7+deb12u3         deb   CVE-2023-31484    High        1.5% (72nd)    1.2           
libexpat1           2.5.0-1                  2.5.0-1+deb12u2          deb   CVE-2024-8176     High        1.6% (73rd)    1.2           
libaom3             3.6.0-1                  3.6.0-1+deb12u1          deb   CVE-2024-5171     Critical    1.3% (66th)    1.2           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u9        deb   CVE-2024-9681     Medium      2.0% (79th)    1.2           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u9        deb   CVE-2024-9681     Medium      2.0% (79th)    1.2           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2024-7006     High        1.5% (72nd)    1.1           
libaom3             3.6.0-1                  (won't fix)              deb   CVE-2023-6879     Critical    1.2% (64th)    1.1           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2024-56171    Critical    1.1% (63rd)    1.1           
libexpat1           2.5.0-1                  2.5.0-1+deb12u1          deb   CVE-2024-45491    Critical    1.1% (63rd)    1.1           
libtiff6            4.5.0-6+deb12u1          (won't fix)              deb   CVE-2023-6277     Medium      1.8% (76th)    1.0           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2024-25062    High        1.4% (69th)    1.0           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42009    High        1.3% (68th)    1.0           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42010    Critical    1.1% (61st)    1.0           
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2025-59375    High        1.3% (67th)    1.0           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-33846    High        1.3% (67th)    0.9           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u5          deb   CVE-2025-32988    High        1.2% (64th)    0.9           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-31790    High        1.2% (65th)    0.9           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-31790    High        1.2% (65th)    0.9           
libxslt1.1          1.1.35-1                 1.1.35-1+deb12u2         deb   CVE-2025-7424     High        1.2% (65th)    0.9           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u3  deb   CVE-2025-6021     High        1.2% (64th)    0.9           
libtasn1-6          4.19.0-2                 (won't fix)              deb   CVE-2025-13151    High        1.1% (63rd)    0.8           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28388    High        1.1% (61st)    0.8           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28388    High        1.1% (61st)    0.8           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u4         deb   CVE-2026-33416    High        1.1% (61st)    0.8           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28389    High        1.0% (60th)    0.8           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28390    High        1.0% (60th)    0.8           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28389    High        1.0% (60th)    0.8           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28390    High        1.0% (60th)    0.8           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-34180    High        1.0% (60th)    0.8           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-34180    High        1.0% (60th)    0.8           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2025-27113    High        1.0% (60th)    0.8           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u3         deb   CVE-2026-25646    High        1.0% (58th)    0.7           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-33845    Critical    0.8% (53rd)    0.7           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u2          deb   CVE-2023-3618     Medium      1.2% (65th)    0.7           
nginx               1.25.5-1~bookworm        (won't fix)              deb   CVE-2013-0337     Low         2.2% (80th)    0.7           
libheif1            1.15.1-1                 1.15.1-1+deb12u1         deb   CVE-2023-49462    High        0.8% (53rd)    0.7           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u4          deb   CVE-2024-12243    Medium      1.2% (66th)    0.6           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u3  deb   CVE-2025-49794    Critical    0.7% (50th)    0.6           
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69421    High        0.8% (54th)    0.6           
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69421    High        0.8% (54th)    0.6           
libheif1            1.15.1-1                 1.15.1-1+deb12u1         deb   CVE-2024-41311    High        0.8% (53rd)    0.6           
libxslt1.1          1.1.35-1                 1.1.35-1+deb12u2         deb   CVE-2023-40403    Medium      1.1% (62nd)    0.6           
libssl3             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28387    High        0.8% (53rd)    0.6           
openssl             3.0.11-1~deb12u2         3.0.19-1~deb12u2         deb   CVE-2026-28387    High        0.8% (53rd)    0.6           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u5          deb   CVE-2025-32989    Medium      1.2% (64th)    0.6           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u3          deb   CVE-2025-9900     High        0.7% (51st)    0.6           
libssh2-1           1.10.0-3+b1                                       deb   CVE-2025-15661    Medium      1.0% (60th)    0.6           
libssl3             3.0.11-1~deb12u2         3.0.14-1~deb12u1         deb   CVE-2024-4603     Medium      1.1% (63rd)    0.6           
openssl             3.0.11-1~deb12u2         3.0.14-1~deb12u1         deb   CVE-2024-4603     Medium      1.1% (63rd)    0.6           
libnghttp2-14       1.52.0-1+deb12u1         1.52.0-1+deb12u3         deb   CVE-2026-27135    High        0.8% (52nd)    0.6           
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69420    High        0.8% (52nd)    0.6           
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69420    High        0.8% (52nd)    0.6           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-5260     High        0.7% (50th)    0.6           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-11856    Critical    0.6% (45th)    0.6           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-11856    Critical    0.6% (45th)    0.6           
libabsl20220623     20220623.1-1             20220623.1-1+deb12u1     deb   CVE-2025-0838     Critical    0.6% (45th)    0.6           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u5          deb   CVE-2025-32990    High        0.7% (50th)    0.6           
libexpat1           2.5.0-1                  2.5.0-1+deb12u2          deb   CVE-2024-50602    Medium      1.0% (60th)    0.6           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u2         deb   CVE-2024-37370    High        0.7% (51st)    0.6           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u2         deb   CVE-2024-37370    High        0.7% (51st)    0.6           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u2         deb   CVE-2024-37370    High        0.7% (51st)    0.6           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u2         deb   CVE-2024-37370    High        0.7% (51st)    0.6           
nginx               1.25.5-1~bookworm                                 deb   CVE-2026-60005    High        0.7% (50th)    0.6           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u4         deb   CVE-2026-33636    High        0.7% (51st)    0.6           
libtinfo6           6.4-4                    (won't fix)              deb   CVE-2023-50495    Medium      1.0% (58th)    0.6           
ncurses-base        6.4-4                    (won't fix)              deb   CVE-2023-50495    Medium      1.0% (58th)    0.6           
ncurses-bin         6.4-4                    (won't fix)              deb   CVE-2023-50495    Medium      1.0% (58th)    0.6           
libtasn1-6          4.19.0-2                 4.19.0-2+deb12u1         deb   CVE-2024-12133    Medium      1.1% (61st)    0.6           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u6        deb   CVE-2024-2004     Low         1.7% (74th)    0.5           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u6        deb   CVE-2024-2004     Low         1.7% (74th)    0.5           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-42766    Medium      1.0% (59th)    0.5           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-42766    Medium      1.0% (59th)    0.5           
libheif1            1.15.1-1                 1.15.1-1+deb12u1         deb   CVE-2023-29659    Medium      0.9% (57th)    0.5           
libssh2-1           1.10.0-3+b1                                       deb   CVE-2026-58050    High        0.7% (50th)    0.5           
liblzma5            5.4.1-0.2                5.4.1-1                  deb   CVE-2025-31115    High        0.6% (47th)    0.5           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8924     Critical    0.6% (43rd)    0.5           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8924     Critical    0.6% (43rd)    0.5           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-7383     High        0.6% (46th)    0.5           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-7383     High        0.6% (46th)    0.5           
